name,role,resume
Candidate_0,Software Engineer,Software Engineer with 3 years experience in spring boot api docker
Candidate_1,HR Manager,HR Manager with 2 years experience in recruitment talent acquisition communication
Candidate_2,AI Engineer,AI Engineer with 1 years experience in transformers deep learning python
Candidate_3,Backend Developer,Backend Developer with 3 years experience in mongodb api node js
Candidate_4,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp keras tensorflow
Candidate_5,Frontend Developer,Frontend Developer with 3 years experience in css javascript ui ux
Candidate_6,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in tensorflow deep learning nlp
Candidate_7,Data Scientist,Data Scientist with 4 years experience in python pandas numpy
Candidate_8,Data Analyst,Data Analyst with 1 years experience in sql excel power bi
Candidate_9,HR Manager,HR Manager with 2 years experience in hr analytics communication talent acquisition
Candidate_10,Data Scientist,Data Scientist with 1 years experience in pandas statistics machine learning
Candidate_11,DevOps Engineer,DevOps Engineer with 4 years experience in linux kubernetes ci cd
Candidate_12,Business Analyst,Business Analyst with 4 years experience in sql reporting analysis
Candidate_13,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp keras tensorflow
Candidate_14,Data Scientist,Data Scientist with 2 years experience in pandas machine learning numpy
Candidate_15,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow keras deep learning
Candidate_16,Software Engineer,Software Engineer with 1 years experience in api java spring boot
Candidate_17,Business Analyst,Business Analyst with 5 years experience in analysis sql dashboard
Candidate_18,HR Manager,HR Manager with 5 years experience in talent acquisition communication hr analytics
Candidate_19,HR Manager,HR Manager with 4 years experience in hr analytics talent acquisition recruitment
Candidate_20,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_21,HR Manager,HR Manager with 1 years experience in hr analytics communication recruitment
Candidate_22,Frontend Developer,Frontend Developer with 4 years experience in html css ui ux
Candidate_23,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in keras deep learning nlp
Candidate_24,Business Analyst,Business Analyst with 4 years experience in dashboard analysis excel
Candidate_25,Data Scientist,Data Scientist with 1 years experience in python numpy statistics
Candidate_26,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp tensorflow deep learning
Candidate_27,AI Engineer,AI Engineer with 5 years experience in llm python transformers
Candidate_28,DevOps Engineer,DevOps Engineer with 1 years experience in linux ci cd aws
Candidate_29,Data Analyst,Data Analyst with 1 years experience in tableau python sql
Candidate_30,Backend Developer,Backend Developer with 3 years experience in api sql node js
Candidate_31,Software Engineer,Software Engineer with 2 years experience in microservices java api
Candidate_32,Frontend Developer,Frontend Developer with 2 years experience in html react javascript
Candidate_33,HR Manager,HR Manager with 4 years experience in communication talent acquisition hr analytics
Candidate_34,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning python tensorflow
Candidate_35,Data Analyst,Data Analyst with 4 years experience in power bi python excel
Candidate_36,AI Engineer,AI Engineer with 3 years experience in python deep learning nlp
Candidate_37,Business Analyst,Business Analyst with 1 years experience in sql excel reporting
Candidate_38,Frontend Developer,Frontend Developer with 2 years experience in css ui ux react
Candidate_39,Frontend Developer,Frontend Developer with 3 years experience in css ui ux react
Candidate_40,Business Analyst,Business Analyst with 4 years experience in excel dashboard sql
Candidate_41,Data Analyst,Data Analyst with 5 years experience in power bi tableau excel
Candidate_42,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment hr analytics
Candidate_43,Business Analyst,Business Analyst with 1 years experience in reporting excel analysis
Candidate_44,Business Analyst,Business Analyst with 1 years experience in excel reporting analysis
Candidate_45,Software Engineer,Software Engineer with 5 years experience in java docker api
Candidate_46,DevOps Engineer,DevOps Engineer with 1 years experience in docker aws kubernetes
Candidate_47,Backend Developer,Backend Developer with 3 years experience in express sql api
Candidate_48,Software Engineer,Software Engineer with 4 years experience in api spring boot java
Candidate_49,Data Scientist,Data Scientist with 2 years experience in numpy pandas statistics
Candidate_50,DevOps Engineer,DevOps Engineer with 3 years experience in linux kubernetes aws
Candidate_51,Data Analyst,Data Analyst with 1 years experience in python excel tableau
Candidate_52,AI Engineer,AI Engineer with 2 years experience in llm nlp deep learning
Candidate_53,Data Scientist,Data Scientist with 3 years experience in machine learning statistics pandas
Candidate_54,AI Engineer,AI Engineer with 4 years experience in nlp llm deep learning
Candidate_55,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning python keras
Candidate_56,Data Scientist,Data Scientist with 1 years experience in python machine learning statistics
Candidate_57,HR Manager,HR Manager with 5 years experience in talent acquisition recruitment hr analytics
Candidate_58,Frontend Developer,Frontend Developer with 4 years experience in css react html
Candidate_59,Data Analyst,Data Analyst with 5 years experience in power bi tableau python
Candidate_60,Data Analyst,Data Analyst with 5 years experience in sql excel tableau
Candidate_61,Software Engineer,Software Engineer with 2 years experience in docker microservices spring boot
Candidate_62,Business Analyst,Business Analyst with 3 years experience in reporting excel analysis
Candidate_63,HR Manager,HR Manager with 5 years experience in hr analytics communication talent acquisition
Candidate_64,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in python deep learning nlp
Candidate_65,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp tensorflow python
Candidate_66,Data Scientist,Data Scientist with 4 years experience in numpy python statistics
Candidate_67,DevOps Engineer,DevOps Engineer with 5 years experience in linux docker kubernetes
Candidate_68,Frontend Developer,Frontend Developer with 2 years experience in ui ux css react
Candidate_69,Data Scientist,Data Scientist with 5 years experience in pandas numpy python
Candidate_70,Data Analyst,Data Analyst with 3 years experience in sql tableau excel
Candidate_71,Data Scientist,Data Scientist with 2 years experience in python statistics pandas
Candidate_72,AI Engineer,AI Engineer with 1 years experience in llm python nlp
Candidate_73,Data Analyst,Data Analyst with 4 years experience in excel python sql
Candidate_74,DevOps Engineer,DevOps Engineer with 2 years experience in docker kubernetes ci cd
Candidate_75,Data Analyst,Data Analyst with 5 years experience in power bi tableau sql
Candidate_76,Frontend Developer,Frontend Developer with 5 years experience in react javascript ui ux
Candidate_77,Data Analyst,Data Analyst with 3 years experience in sql power bi python
Candidate_78,Software Engineer,Software Engineer with 2 years experience in java microservices docker
Candidate_79,Backend Developer,Backend Developer with 5 years experience in sql express mongodb
Candidate_80,Data Scientist,Data Scientist with 5 years experience in python numpy pandas
Candidate_81,DevOps Engineer,DevOps Engineer with 5 years experience in docker ci cd kubernetes
Candidate_82,Business Analyst,Business Analyst with 1 years experience in sql reporting dashboard
Candidate_83,Data Scientist,Data Scientist with 4 years experience in pandas numpy machine learning
Candidate_84,Backend Developer,Backend Developer with 5 years experience in node js api sql
Candidate_85,AI Engineer,AI Engineer with 5 years experience in llm deep learning python
Candidate_86,Frontend Developer,Frontend Developer with 3 years experience in react css ui ux
Candidate_87,Data Analyst,Data Analyst with 2 years experience in sql power bi excel
Candidate_88,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in nlp keras tensorflow
Candidate_89,Backend Developer,Backend Developer with 3 years experience in api sql mongodb
Candidate_90,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in tensorflow keras deep learning
Candidate_91,Data Analyst,Data Analyst with 1 years experience in sql python excel
Candidate_92,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow deep learning keras
Candidate_93,HR Manager,HR Manager with 1 years experience in talent acquisition communication hr analytics
Candidate_94,Data Scientist,Data Scientist with 1 years experience in numpy statistics pandas
Candidate_95,Data Analyst,Data Analyst with 1 years experience in sql power bi tableau
Candidate_96,Business Analyst,Business Analyst with 4 years experience in reporting dashboard excel
Candidate_97,Frontend Developer,Frontend Developer with 3 years experience in css html react
Candidate_98,Backend Developer,Backend Developer with 3 years experience in api node js mongodb
Candidate_99,DevOps Engineer,DevOps Engineer with 1 years experience in linux docker ci cd
Candidate_100,Software Engineer,Software Engineer with 5 years experience in spring boot api java
Candidate_101,HR Manager,HR Manager with 3 years experience in communication talent acquisition hr analytics
Candidate_102,Backend Developer,Backend Developer with 2 years experience in express node js mongodb
Candidate_103,Data Scientist,Data Scientist with 1 years experience in numpy pandas statistics
Candidate_104,Software Engineer,Software Engineer with 1 years experience in java docker microservices
Candidate_105,DevOps Engineer,DevOps Engineer with 5 years experience in linux kubernetes aws
Candidate_106,Frontend Developer,Frontend Developer with 2 years experience in ui ux html javascript
Candidate_107,Data Analyst,Data Analyst with 1 years experience in python power bi sql
Candidate_108,AI Engineer,AI Engineer with 4 years experience in python transformers llm
Candidate_109,Data Analyst,Data Analyst with 1 years experience in excel python sql
Candidate_110,Software Engineer,Software Engineer with 3 years experience in microservices api java
Candidate_111,Frontend Developer,Frontend Developer with 2 years experience in javascript css html
Candidate_112,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning tensorflow python
Candidate_113,Data Analyst,Data Analyst with 1 years experience in power bi sql excel
Candidate_114,Data Scientist,Data Scientist with 4 years experience in pandas statistics python
Candidate_115,Business Analyst,Business Analyst with 3 years experience in excel sql analysis
Candidate_116,Software Engineer,Software Engineer with 3 years experience in api microservices docker
Candidate_117,AI Engineer,AI Engineer with 4 years experience in transformers python nlp
Candidate_118,Software Engineer,Software Engineer with 1 years experience in api java spring boot
